@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R52-53,56,7,21,55,16,24,57,25,23,27,5,19,26,3,11,17,2,8,6,20,10,9,18,12,54,30,58'

@attribute attribute_51 numeric
@attribute attribute_52 numeric
@attribute attribute_55 numeric
@attribute attribute_6 numeric
@attribute attribute_20 numeric
@attribute attribute_54 numeric
@attribute attribute_15 numeric
@attribute attribute_23 numeric
@attribute attribute_56 numeric
@attribute attribute_24 numeric
@attribute attribute_22 numeric
@attribute attribute_26 numeric
@attribute attribute_4 numeric
@attribute attribute_18 numeric
@attribute attribute_25 numeric
@attribute attribute_2 numeric
@attribute attribute_10 numeric
@attribute attribute_16 numeric
@attribute attribute_1 numeric
@attribute attribute_7 numeric
@attribute attribute_5 numeric
@attribute attribute_19 numeric
@attribute attribute_9 numeric
@attribute attribute_8 numeric
@attribute attribute_17 numeric
@attribute attribute_11 numeric
@attribute attribute_53 numeric
@attribute attribute_29 numeric
@attribute attribute_57 {0,1}

@data
0.432,0.432,19,0.5,1.51,2.375,0,0,247,0,0.75,0,0.75,2.02,0,0.75,0,0,0,0.25,0,0,1.01,0,1.51,0.25,0,0,1
0.103,0,137,0.32,3.26,5.85,0.98,0.65,234,0,0,0,0.65,2.61,0,0.32,0.65,0,0,0.32,0.32,2.61,0,0,0.65,1.3,0.103,0,1
0.079,0.105,32,0.16,1.51,2,0,0.16,260,0,0,0,0.5,2.52,0,0.67,0,0,0.67,0.16,0,0.5,0,0,0,0.33,0.052,0,1
0.076,0.101,32,0.16,1.48,2.03,0,0.16,264,0,0,0,0.49,2.47,0,0.66,0,0,0.66,0.16,0,0.49,0,0,0,0.33,0.05,0,1
0.079,0.106,32,0.17,1.55,2,0,0.17,260,0,0,0,0.51,2.59,0,0.69,0,0,0.69,0.17,0,0.51,0,0,0,0.34,0.053,0,1
0.435,0.932,33,0.36,2.95,2.932,0.36,0,173,0,1.47,0,0,2.21,0,1.47,0.36,0,0,0,1.1,1.1,0,0,0,0.36,0.186,0,1
0.41,0.192,268,0.06,1.13,4.754,0,0.26,813,0,0.13,0,0.13,3.6,0,0.2,0.33,0,0.33,0.2,0.53,0,1.13,0,0,0.66,0.115,0,1
0.394,0,22,0,0.56,3.537,0,0,237,0,0,0,0,1.69,0,0.56,0,0,0,0,0,0,1.12,0,0,0,0.394,0,1
0.08,0.107,32,0.16,1.52,2.015,0,0.16,258,0,0,0,0.5,2.37,0,0.67,0,0,0.67,0.16,0,0.5,0,0,0,0.33,0.053,0,1
0.117,0,12,0.38,1.92,2.061,0.38,0,101,0,0,0,0.76,3.46,0,0,0.38,0,0,0.38,0.38,0,0,0,0,0,0,0,1
0,0,73,0,2.8,11.066,0,0,166,0,0,0,0.93,2.8,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,1
0.371,0.046,97,0,0.56,14.58,0,0.28,452,0,0,0,3.69,0.85,0,0,0,3.4,0,0.56,0.56,1.13,0.56,0.56,0,0,0,0,1
0,0,65,0,2.83,10.533,0,0,158,0,0,0,0.94,2.83,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,1
0.339,0.162,74,0.08,2.21,4.137,0.35,1.5,753,0,0.17,0,0.53,4.16,0,0.26,0.08,0.08,0.08,0.08,0.08,0.26,0.62,0.97,0,1.15,0.014,0,1
0.224,0,6,0.47,0.94,1.102,0.94,0,54,0,0,0,1.41,1.88,0,0.47,0.47,0,0.47,0,0,0,0.47,0,0,0.94,0,0,1
1.129,0.483,10,0,1.78,1.826,0.89,0,42,0,0,0,0.89,6.25,0,0,0,0,0.89,0,0,2.67,0,0,0,0,0,0,1
0,0.027,11,0.18,0.37,2.326,0,0,363,0,0.18,0,0.55,0.74,0,0.18,0,0,0,0.18,0.37,0,0.18,0,0,0.18,1.625,0,1
0.02,0.163,12,0.05,1.04,1.796,0,0.05,460,0,0.75,0,1.45,4.24,0,0.17,0.05,0.69,0,0.05,0.34,0.23,0.05,0.05,0.05,0.52,0,0,1
0.215,0,43,0,0,7.552,1.16,0,506,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0.539,0,1
0.301,0,19,0.44,3.09,2.787,0,0.44,131,0,0,0,1.32,4.42,0,0.44,0,0.44,0,0,0,0,1.32,0,0,0,0,0,1
0.315,0.035,60,0.24,1.99,4.071,0.49,0,228,0,0,0,0.24,3.99,0,0.74,0.49,0.99,0,0.49,0.24,0,0,0,0.24,2.24,0,0,1
0.077,0,11,0,0,1.388,0.52,0,75,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.179,0.117,12,0,0.64,1.8,0,0,63,0,0,0,0,3.87,0,0,0,0,0,0.64,1.29,0,0,0,0,0,0,0,1
0.072,1.457,12,0.42,2.1,2.632,1.68,0,179,0,2.53,0,2.53,2.95,0,0.42,0.42,0,0,0,0.42,0,0.84,0,0,0.84,0.072,0,1
0.064,0.128,23,0,1.32,2.215,0.88,0,113,0,0,0,3.98,0.88,0,0,0,0,0,0.44,0.44,0.44,0.88,0,0,0,0,0,1
0,0,12,0.98,2.46,2.373,0,0,197,0,0.49,0,0.49,1.47,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,1
0.393,0.145,669,0.49,0.68,8.323,0.09,0.09,1415,0.09,0.59,0,0.78,1.28,0.09,0.98,0.29,0,0.19,0,0.78,0.19,0.19,0.78,1.08,0.68,0.014,0,1
0,0.248,12,1.47,1.47,3.15,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.985,0,1
0.01,0.165,12,0,1.11,1.79,0,0.05,453,0,0.76,0,1.47,4.17,0,0.17,0.05,0.7,0,0.05,0.35,0.23,0.05,0.05,0,0.52,0,0,1
0,0,14,0,0,2.4,0,0,24,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,1
0.253,0.031,69,0,3.35,3.771,0,0.09,528,0,0.36,0,0.36,1.99,0,0.27,0,0,0,0.18,0.09,0,0,0.09,0,0.81,0.031,0,1
0.035,0.124,14,0.11,0,1.98,0,0,305,0,0.55,0,0.22,0,0,0.55,0,0.22,0,0,0.22,0,0.22,0.11,0,0.33,0,0,1
0.921,0.345,11,0.64,1.29,1.833,0,0,55,0,0,0,0.64,3.89,0,0,0,0,0,0,0,1.29,0,0,0,0.64,0,0,1
0.267,0,45,0,1.9,4.18,0,0.47,464,0,0,0,0,0.47,0,0.95,0,0,0.95,0,0,0.47,0,0,0,0,0,0,1
0.033,0.118,14,0.1,0,1.987,0,0,306,0,0.54,0,0.21,0,0,0.54,0,0.21,0,0,0.21,0,0.21,0.1,0,0.21,0,0,1
0.252,0.031,69,0,3.27,3.816,0,0.09,542,0,0.36,0,0.36,2,0,0.27,0,0,0,0.18,0.09,0,0,0.09,0,0.72,0.031,0,1
0.252,0.031,69,0,3.27,3.816,0,0.09,542,0,0.36,0,0.36,2,0,0.27,0,0,0,0.18,0.09,0,0,0.09,0,0.72,0.031,0,1
0.347,0,5,1.08,1.08,1.325,2.17,0,53,0,0,0,0,3.26,0,0,0.54,0,0.54,0,0,0,0.54,0,0.54,0.54,0,0,1
0.288,0.173,28,0.65,2.28,3.065,0,0,141,0,0.65,0,0.98,2.61,0,0.32,0,0.65,0,0,0.32,0,0.32,0,0,0.98,0,0,1
0.766,0.317,76,0.19,1.38,6.652,0.98,1.38,632,0,0,0,0,2.56,0,0.59,0,0,0.39,0.19,0.98,0.39,0.39,1.38,0,0.98,0.026,0,1
0.61,0,51,0.31,0.62,9.218,0,0.31,507,0,0,0,0,0.93,0,0,0,0,0.31,0.62,0,0,1.25,0,0.62,0,0.122,0,1
0.613,0.229,151,0,0.84,9.652,0.5,1.17,888,0,0,0,0,2.02,0,0.5,0,0,0.33,0.16,0.67,0.33,0.33,1.34,0.16,0.67,0.051,0,1
0.056,0.056,53,0,2.8,2.153,0.11,0,532,0.11,0,0,0.56,1.79,0.11,0,0.11,0.22,0.56,0,0,0,0.56,1.01,0.89,1.79,0,0,1
0.134,0,14,0.72,0,3.066,0,0,92,0,0,0,1.45,1.45,0,0,0,0,0,0,0.72,0,1.45,0,0,0,0,0,1
0.237,0.031,69,0,3.36,3.758,0,0.09,530,0,0.36,0,0.36,2,0,0.27,0,0,0,0.18,0.09,0,0,0.09,0,0.72,0.031,0,1
0.235,0.188,124,0.82,1.1,5.622,0.82,0.27,298,0,0.82,0,1.37,2.75,0,0.82,0,0.27,0.27,0,0,0,0.82,0,0,0.82,0,0,1
0,0,12,0.37,3.34,2.492,1.11,0,172,0,0,0,1.85,1.85,0,0.74,0,0,0,0,0.37,0,0.74,0,0,0.37,0,0,1
0.238,0.238,19,0,1.36,2.232,0,0.68,96,0,0.68,0,0,3.4,0,0.68,0.68,0,0,1.36,0,0,0,0,0,0.68,0,0,1
0.189,0,447,1.01,1.26,8.972,1.26,0,646,0,0,0,0.5,1.77,0,0.25,0.76,0.25,0.5,0,0,0,0.76,0,0.25,0.5,0.151,0,1
0.119,0.071,74,0.07,1.87,3.429,0,0.22,974,0,0,0,0.52,3.29,0,0.82,0.22,0.07,0.22,0,0,0.22,0.59,0.67,0,0.82,0.167,0,1
0.408,0.118,669,0.25,0.42,7.55,0.25,0.08,1412,0,0.85,0,0.85,1.61,0,0.76,0.17,0.08,0.08,0.17,1.02,0.17,0.08,0.59,0.93,0.59,0.013,0,1
0.61,0,28,0,2.56,3.809,0,0,80,0,0,1.28,0,1.28,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,1
0.158,0,394,0.56,1.12,9.25,1.41,0,555,0,0,0,0,1.97,0,0.28,0.28,0.28,0.56,0,0,0,0.56,0,0,0.56,0.158,0,1
0.124,0,14,0,0,3.707,0,2.45,152,0,0,0,0,2.45,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,1
0.898,0.105,1325,0,0.68,443.666,0,0,1331,0.34,0,0,1.02,0.34,0,1.7,0,0,0,0,0,1.02,1.02,0.68,0,0,0,0,1
0.221,0.665,15,0,0,3.812,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.071,1.212,130,1.02,0.51,7.025,0,0,281,0,0.51,0,0.51,0.51,0,0,0,0,0.51,0,0.51,0,0,0,0.51,0,0,0,1
1.739,0.173,636,0,5.36,56.538,0.48,0,735,0,0,0,0.48,1.95,0,0.97,0,0,0.97,0.48,0,0,1.95,0,0,2.43,0.086,0,1
0.898,0.105,1325,0,0.68,443.333,0,0,1330,0.34,0,0,1.02,0.34,0,1.7,0,0,0,0,0,1.02,1.02,0.68,0,0,0,0,1
0.237,0.031,69,0,3.36,3.758,0,0.09,530,0,0.36,0,0.36,2,0,0.27,0,0,0,0.18,0.09,0,0,0.09,0,0.72,0.031,0,1
0.408,0.118,669,0.25,0.42,7.55,0.25,0.08,1412,0,0.85,0,0.85,1.61,0,0.76,0.17,0.08,0.08,0.17,1.02,0.17,0.08,0.59,0.93,0.59,0.013,0,1
0,0,42,0,2.32,8.733,0,2.32,131,0,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.636,0,28,0,2.7,3.809,0,0,80,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,1
0,0.184,31,0,0,8.161,0,0,253,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,1
0.458,2.33,266,0.03,1.3,6.601,0.25,0.57,2370,0,0.39,0,0.14,3,0,0.43,0.28,0.39,0.43,0.07,0.1,0,1.01,0.54,0,0.79,0.113,0,1
0.131,0.056,74,0.11,1.74,4.47,0,0.81,675,0,0,0,0.46,3.72,0,0.58,0,0.11,0.34,0.23,0.11,0.46,0.93,1.04,0,0.46,0.018,0,1
0.16,0,139,0.33,3.02,6.111,1,0.67,275,0,0,0,0.33,2.68,0,0.33,0.67,0.33,0.67,0.33,0.33,2.68,0,0,0.33,1,0.107,0,1
1.687,0.168,634,0,5.23,57.076,0.47,0,742,0,0,0,0.47,1.9,0,0.95,0,0,0.95,0.47,0,0,1.9,0,0,2.38,0.084,0,1
1.683,0.168,634,0,5.14,57.076,0.46,0,742,0,0,0,0.46,1.86,0,0.93,0,0,0.93,0.46,0,0,1.86,0,0,2.33,0.084,0,1
0.257,0.032,69,0,3.38,3.689,0,0.09,535,0,0.36,0,0.36,2.01,0,0.27,0,0,0,0.18,0.09,0,0,0.09,0,0.73,0.032,0,1
0.088,0,29,0.73,1.47,3.048,2.2,0,125,0,0,0,0,1.47,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,1
0.979,0,68,0.63,0,8.476,0.63,0,356,0,0,0,0,0.63,0,0,0,0,0,0,0,0,1.26,0,0,0,0.293,0,1
0.088,0,29,0.74,1.48,3.048,2.22,0,125,0,0,0,0,1.48,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,1
0.418,0.254,148,0,1.66,9.705,0.11,1.07,1514,0,1.9,0,0.47,3.21,0,0.11,0.23,0.59,0,0.59,0.11,0,2.86,0.71,0.47,0.11,0.018,0,1
0.875,0.109,12,0.73,0,2.08,0.73,0,52,0,0.73,0,0,1.47,0,0.73,0,0,0,0,0.73,0,0,0,0,0,13.129,0,1
1.001,0,32,0,0,4.551,1.36,0,132,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1
0.445,0.519,136,0.13,1.42,6.029,0.27,0.61,2213,0,0.37,0,0.13,3.19,0,0.33,0.3,0.44,0.4,0.1,0.03,0,0.78,0.54,0.03,0.71,0.119,0,1
0.123,0.278,46,0,1.35,3.774,0.33,0.84,268,0,0,0,1.01,5.77,0,1.35,0.16,0,0.16,0,0,0,0.16,0,0.16,1.69,0.03,0,1
0.396,0,149,0,2.38,22.714,0,0,159,0,0,0,2.38,0,0,0,0,7.14,0,2.38,0,2.38,2.38,2.38,0,0,0,0,1
0.03,0.015,48,0,3.38,4.192,0,0.09,566,0,0.36,0,0.36,1.27,0,0.09,0,0.09,0,0.36,0.09,0,0,0.09,0,0.63,0,0,1
0.095,0.478,60,0,2.65,5.038,0,0,131,0,1.59,0,0.53,2.65,0,0.53,0,0.53,0,0.53,0,0,0,0,0.53,1.06,0,0,1
0.095,0.475,60,0,2.64,5.038,0,0,131,0,1.58,0,0.52,2.64,0,0.52,0,0.52,0,0.52,0,0,0,0,0.52,1.05,0,0,1
0.094,0.473,60,0,2.56,5.038,0,0,131,0,1.53,0,0.51,2.56,0,0.51,0,0,0,0.51,0,0,0,0,0.51,1.02,0,0,1
0.384,0.182,299,0,0.31,8.851,2,0.1,1726,0,0.52,0,1.05,1.69,0,0.31,0.1,0.84,0.1,0.31,0.42,0.31,0.1,0,0.21,0.84,0.201,0,1
0.138,0.138,11,1.11,3.33,2.7,2.22,0,54,0,0,0,0,3.33,0,1.11,1.11,0,0,0,0,0,0,0,0,1.11,0,0,1
1.3,0.127,97,0.15,3.95,5.241,0,0.47,650,0,0.15,0,0.47,2.05,0,0.63,0.31,1.58,0,0.79,0.47,1.58,0.63,0.15,0,1.42,0,0,1
0.455,0,10,0.91,1.83,2.842,0.91,0,54,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,1.83,0.91,0,0,1
1.3,0.127,97,0.15,3.95,5.241,0,0.47,650,0,0.15,0,0.47,2.05,0,0.63,0.31,1.58,0,0.79,0.47,1.58,0.63,0.15,0,1.42,0,0,1
0,0.166,19,0.64,3.24,1.688,0.32,0.32,157,0,0,0,0.64,2.27,0,0.32,0,0.32,0,0.32,0.64,0,0,0,0.32,0.32,0,0,1
0,0.215,13,1.26,1.26,3.529,0,0,60,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,1.26,0,1.724,0,1
0.336,0.16,494,0.1,1.72,6.758,0.91,0.2,1426,0,0.4,0,0.4,1.72,0,0.1,0.4,0.2,0,0,0.1,4.26,0.2,0.2,0,0.5,0,0,1
0.016,0,135,0,0,24.375,0,0,3315,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,1
0.424,0.424,25,0,0,4.1,0,0,82,0,1.12,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,1
0.421,0,46,1.18,2.36,6.275,0,0,182,0,0,0,0,4.14,0,0,0,2.95,0,0.59,0,2.36,1.18,0.59,0,1.18,0,0,1
0,0,9,4.54,0,1.8,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.287,0.106,117,0.52,1.04,4.742,0.13,0.19,1342,0,0.52,0,0.39,1.3,0,0.71,0.06,0.06,0.65,0.19,0.65,0,0.52,1.04,1.1,0.39,0,0,1
0.843,0,19,0,2.46,2,0,0,106,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,1
2.224,1.223,412,0,3,107.4,0,0,537,0,0,0,0.75,0.75,0,1.5,0,1.5,1.5,0,0,0,3.75,0.75,0,2.25,0,0,1
2.249,1.237,404,0,3.03,105.8,0,0,529,0,0,0,0.75,0.75,0,1.51,0,0.75,1.51,0,0,0,3.78,0.75,0,2.27,0,0,1
0.334,0.175,689,0.2,1.25,7.439,0,0.2,1287,0,1.14,0,0.31,2.08,0,0.52,0.2,0.2,0.2,0.62,1.14,0.2,0.52,1.04,1.45,0.62,0.031,0,1
1.235,0,10,0,0,4.466,0,0,134,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.441,0.662,17,0,0,4.066,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.102,0,138,0.31,3.5,5.708,0.95,0.63,274,0,0,0,0.31,2.54,0,0.31,0.63,0.63,0,0.31,0.31,2.54,0,0,0.31,0.95,0.102,0,1
0.174,0,7,0,0,1.787,2.04,0,59,0,0,0,0,1.02,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,1
0.173,0,7,0,0,1.787,1.96,0,59,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,1
0.864,0.132,44,0,1.17,5.87,3.51,0,364,0,0,0,0.39,1.17,0,1.17,0.78,0,0.39,0,0,0,0.78,0,0,0.78,0.066,0,1
0,0,5,0,0,2.058,1.42,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,1
0.326,0.155,494,0.09,1.66,6.813,0.87,0.19,1458,0,0.39,0,0.39,1.66,0,0.09,0.39,0.19,0,0,0.09,4.1,0.29,0.19,0,0.48,0,0,1
0.016,0.064,29,0.1,0,1.915,0,0,339,0,0.73,0,0.1,0,0,0.41,0,0.1,0,0.52,0.1,0,0,0.1,0,0.62,0,0,1
0.007,0.099,14,0.04,0.28,1.867,0,0.14,521,0,0.38,0,0.09,0.24,0,0.28,0,0.14,0,0.04,0.24,0.04,0,0.24,0,0.52,0,0,1
0.611,0.014,127,0,2.83,3.707,1.18,0.27,875,0,0.09,0,0.82,2.73,0,0.63,0.09,0.27,0.27,0.36,0.36,0,4.1,0.27,2.1,1.27,0,0,1
0.368,0.552,7,0.74,2.61,1.58,0,0.37,79,0,0,0,1.11,3.35,0,1.11,0.74,0.37,0,0,0,2.98,0,0,0,0.37,0,0,1
0.235,0.235,41,1.38,1.38,6.266,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.882,0,1
0.878,0.175,58,0,1.48,5.985,3.34,0.37,425,0,0,0,0.37,0.74,0,1.11,0.37,0,0.37,0,0,0,0.74,0,0,0.74,0.058,0,1
0.878,0.175,58,0,1.48,5.985,3.34,0.37,425,0,0,0,0.37,0.74,0,1.11,0.37,0,0.37,0,0,0,0.74,0,0,0.74,0.058,0,1
4.733,0,11,0,0,2.666,0,0,24,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,10,0.17,0,1.559,0,0,145,0,0.34,0,0.17,0,0,0.51,0,0,0,0.34,0,0,0,0.17,0,0,0,0,1
0.02,0.161,51,0.05,1.03,2.093,0,0.05,536,0,0.74,0,1.43,4.2,0,0.17,0.05,0.69,0,0.05,0.34,0.23,0.05,0.05,0.05,0.51,0.03,0,1
0.182,0.146,26,0.83,0.2,3.791,0,0,364,1.46,0.2,0,1.46,1.04,1.46,0,0,0,0,0,0,0,1.04,0.2,1.46,0.41,0,0,1
1.199,0.505,64,0.37,1.49,3.337,0.37,0,267,0,0,0,0.37,3.73,0,0,0,1.49,0.37,0.74,0.37,2.61,0.37,0.37,0,0.74,0,0,1
1.599,0.148,102,0,3.37,4.947,0.45,0.67,564,0,0.22,0,0.22,1.57,0,0.67,0.22,1.35,0,0.67,0.67,1.57,0.22,0.22,0.22,1.35,0,0,1
0.088,0.124,50,0.09,1.43,2.405,0.19,0.19,368,0,0,0,0.09,2.01,0,0.57,0,0,0.19,0.09,0.28,0,0.19,0.38,0,0.57,0,0,1
0,0.187,21,0,0.44,3.384,0,0,264,0,0,0,0.88,0.66,0,0.44,0,0,0,0,0.22,0,0,0,0,0.44,0.149,0.66,1
7.843,0,5,0,0,1.666,0,0,15,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,5,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,8,0,0.73,1.6,2.94,0,48,0,0,0,0,5.14,0,0,1.47,0,0,2.2,0,0,0,0,0,0.73,0,0,1
1.663,0.249,636,0,5.55,49.866,0.46,0,748,0,0,0,0.46,1.85,0,0.92,0,0,0.92,0.46,0,0,1.85,0,0,2.31,0.083,0,1
1.687,0.168,636,0,5.18,57.23,0.47,0,744,0,0,0,0.47,1.88,0,0.94,0,0,0.94,0.47,0,0,1.88,0,0,2.35,0.084,0,1
2.143,0.612,54,0.9,0,10.125,0,0,162,0,0,0,0.9,5.45,0,0.9,0,0,0,0,0,0,0,0,0,0,0.459,0,1
0.131,0.071,74,0.07,1.87,3.446,0,0.22,972,0,0,0,0.52,3.3,0,0.82,0.22,0.07,0.22,0,0,0.22,0.6,0.67,0,0.82,0.167,0,1
0,0.204,25,0,6.41,5.181,0,1.28,57,0,0,0,0,1.28,0,1.28,0,0,0,0,0,0,0,0,0,1.28,0,0,1
0.862,0,272,0.49,0,12.148,2.94,0,571,0,0,0,0,1.47,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0,0,1
1.683,0.168,636,0,5.26,57.23,0.47,0,744,0,0,0,0.47,1.91,0,0.95,0,0,0.95,0.47,0,0,1.91,0,0,2.39,0.084,0,1
1.68,0.168,636,0,5.18,57.23,0.47,0,744,0,0,0,0.47,1.88,0,0.94,0,0,0.94,0.47,0,0,1.88,0,0,2.35,0.084,0,1
0,0,12,0,4.48,2.25,1.34,0,144,0,0,0,1.79,2.24,0,0.89,0,0,0,0,0.44,0,0,0,0,0.44,0,0,1
0,0,12,0,4.46,2.25,1.33,0,144,0,0,0,1.78,2.23,0,0.89,0,0,0,0,0.44,0,0,0,0,0.44,0,0,1
0.899,0.105,1333,0,0.68,667,0,0,1334,0.34,0,0,1.02,0.34,0,1.7,0,0,0,0,0,1.02,1.02,0.68,0,0,0,0,1
0,0.389,16,0,0,3.476,0,0,73,0,1.08,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,1
0.572,0,28,0,2.75,2.9,0,0,87,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,1
1.326,0,11,0,4,2.2,1.33,0,44,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,1
0.238,0.059,29,0,0.73,2.93,0.36,0.36,211,0,0,0,0.73,3.69,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,1
0,0,14,0,0,2,0,0,178,0,0,0,0,0,0,0,0,0.96,0,0,0.32,0,0,0,0,0,0,2.24,1
0.425,0.573,131,0.03,1.25,5.761,0.24,0.59,2224,0,0.34,0,0.13,2.99,0,0.41,0.27,0.41,0.41,0.06,0.1,0,0.94,0.52,0.03,0.76,0.112,0,1
0.055,0.111,32,0,0.62,2.358,0.31,0.62,125,0,0,0,0.94,3.76,0,0,0.31,0,0,0,0,0.31,0,0,0.31,0,0,0,1
0.768,0,296,0.56,0.56,11.685,3.97,0,409,0,0.56,0,1.13,2.84,0,1.13,0,0,0,0,0.56,0,0.56,0,0,1.13,0,0,1
0,0.022,11,0,0,2.227,0.14,0,294,0,0.14,0,0.29,0,0,0.14,0,0,0,0,0,0,0,0,0,0.89,0,0,1
0.582,0.291,35,0,3.04,2.309,1.1,0.27,291,0,0,0,0,2.49,0,0.55,0.55,0.27,0,0.27,0.55,0,0,0,0.83,0.27,0.582,0,1
0,0.21,25,0,5.26,4.5,0,1.31,54,0,0,0,0,1.31,0,1.31,0,0,0,0,0,0,0,0,0,1.31,0,0,1
0,0.21,25,0,5.26,4.5,0,1.31,54,0,0,0,0,1.31,0,1.31,0,0,0,0,0,0,0,0,0,1.31,0,0,1
0.701,0.35,6,2.32,4.65,1.434,0,0,33,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.819,0,42,0.85,1.7,4.84,0.42,0,363,0,0,0,0.42,3.41,0,2.99,0.42,0,0,0,0,0,0,0,1.28,0.42,0,0,1
0.263,0,4,1.04,1.04,1.428,0,0,20,0,0,0,3.12,2.08,0,0,0,0,2.08,0,0,0,0,0,4.16,2.08,0,0,1
0.356,0.09,1171,0,0.79,12.332,0.04,0.47,9163,0,0.69,0,0.14,1.6,0,0.04,0.14,0.39,0.04,0.29,0.04,0.04,0.94,0.29,0.19,0.04,0.011,0,1
0.433,0.433,19,0.5,1.52,2.441,0,0,249,0,0.76,0,0.76,2.03,0,0.76,0,0,0,0.5,0,0,1.01,0,1.52,0.25,0,0,1
0,0.182,21,0,0,3.545,0,0,78,0,0,0,0,0,0,0,0,1.25,0,2.5,0,0,0,0,0,0,0,0,1
0.358,0.188,75,0,1.06,2.847,0.53,0.21,447,0,0,0,0.21,1.7,0,0.63,0,0,0,0,0,0,0.1,0.42,0,0.31,0.075,0,1
0.242,0,332,0.75,1.5,9.584,1.87,0,508,0,0,0,0,2.63,0,0.37,0,0.37,0.75,0,0,0,0.37,0,0,0.75,0.145,0,1
1.011,0,12,1.96,0.98,2.888,0.98,0,52,0,0,0,0,0.98,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0,1
0.454,0.523,739,0,1.35,6.59,0.21,0.54,2333,0,0.51,0,0.14,3,0,0.29,0.29,0.43,0.43,0.18,0.03,0,0.62,0.54,0.03,0.65,0.136,0,1
0.298,0.149,376,0,2.04,11.96,0,0.61,909,0,0,0,0,2.66,0,0.4,0,0,0.4,0.2,0.4,0.2,0.61,1.43,0,0.2,0.029,0,1
0.17,0.341,24,0,0,3.809,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.21,25,0,5.26,4.5,0,1.31,54,0,0,0,0,1.31,0,1.31,0,0,0,0,0,0,0,0,0,1.31,0,0,1
0,0.171,32,1.63,2.18,2.592,0.54,0,70,0,0,0,0,4.91,0,0,0.54,2.73,0,0,0.54,0,0,0,0.54,0.54,0,0,1
1.154,0.524,78,0,1.3,3.89,0.65,0,249,0,0,0,0,1.3,0,0,0,2.61,0,1.3,0.65,3.26,0.65,0.65,0.65,0,0,0,1
0.168,0.336,17,2.35,0,4.576,1.17,0,119,0,2.35,0,0,2.35,0,0,0,0,0,0,0,0,0,2.35,0,1.17,0,0,1
0,0.169,10,0.32,3.25,1.494,0.32,0.32,139,0,0,0,0.65,2.28,0,0.32,0,0.32,0,0.32,0.65,0,0,0,0,0.32,0,0,1
0.174,0.174,126,0,0,9.186,0.25,0,937,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437,0,1
